1552200;21600
2288142;24600
2385530;21700
3136702;29400
3354825;15800
3390922;12400
3600279;17300
3674188;15800
3867949;22000
4085716;23100
4090821;24600
4144095;14900
4163340;26600
4275023;36300
4321514;39900
4329829;29800
4359585;24200
4399342;24600
4459768;19400
4548952;41300
4594813;13100
4655669;20200
4670760;14900
4674547;38300
4679934;12200
4771285;21800
4806987;19400
4864307;22800
4874623;29400
5069458;19600
5079142;36300
5176310;26300
5249707;30300
5252687;24200
5309402;22000
5419899;27700
5498523;27600
5511270;33300
5530142;26600
5598138;34900
5635233;22200
5646491;30300
5681806;22000
5720772;24600
5735196;31600
5831455;21700
5962414;26300
5985733;19400
5993579;21300
6128391;23900
6233794;17300
6263617;24200
6307342;20000
6315159;26300
6560737;24200
6574403;19100
6580980;12100
6643769;26600
6660755;19600
6660755;40800
6732402;9800
6749653;20400
6764224;24200
6975877;20400
7045919;22000
7053668;30300
7149252;30500
7160971;26800
7281673;7200
7303365;29000
7303397;36300
7304205;53700
7305766;30300
7306569;20400
7308613;22000
7359505;22000
7359657;63900
7420728;18200
7423927;36300
7592857;1000
7619091;18800
7637293;20000
7679441;21800
7750284;24200
7810710;39900
7838054;41300
7878509;26600
7889596;22000
7916629;5000
7919970;26300
7995194;24200
8023134;13100
8078933;36300
8151041;35900
8207239;20000
8366747;18800
8367792;36300
8377117;31700
8463494;21800
8524450;26300
8606715;23100
8662225;36000
8679013;35800
8690178;24600
8725684;19100
8730084;24600
8763419;36300
8805152;41300
8816137;36300
8891028;26600
8940675;31800
8972142;10900
8973003;11000
8992495;19100
9063259;22200
9104954;5000
9117856;26600
9224250;18200
9231404;21800
9273669;22400
9352079;17900
9410023;27100
9419106;18300
9506860;27900
9511312;12100
9517559;26600
9518206;29400
9742715;24600
9781759;10000
9809372;24600
9859686;11000
9859827;24600
9870197;30300
9950339;24600
10043890;33300
10073515;6100
10076760;36500
10146297;44800
10294257;22400
10323137;26300
10351599;24600
10361626;21700
10412625;21300
10412832;19400
10699990;24600
10750495;24200
10751897;26300
10757009;21800
10793692;59100
10829576;36300
10898505;23900
10973278;22400
10982367;24200
10983385;33000
11383349;20000
11467418;33000
11468592;22000
11468811;31800
11469103;47900
11509160;24200
11614566;39900
11615460;13600
11719509;22000
11722067;22000
11913287;22700
12213903;39900
12217110;40700
12217174;27500
12261470;33000
12348602;22000
12420023;27500
12442105;22000
12575606;24400
12614172;45400
12616181;34900
12616453;23400
12619907;33000
12703810;35800
12837509;21300
12839162;20400
12839458;39900
12840216;29700
12875091;22000
13010764;22000
13011008;27500
13011197;19400
13011547;30500
13012905;29800
13033354;30300
13050893;55600
13052643;21800
13217841;5000
13218730;36600
13218859;19400
13220202;24200
13292025;33000
13326486;24200
13419316;27500
13419889;19400
13420763;30800
13420967;24200
13421967;33000
13451471;21200
13529627;27500
13529927;36300
13534559;35300
13643254;36300
13644922;30300
13646120;17600
13868015;19400
13868557;21300
13870268;24200
13870329;27500
13870644;24200
13871069;17600
14109776;39400
14289553;22000
14308067;21800
14620002;36300
15080675;22000
15112986;27500
15144854;22000
15501289;30300
15680503;22000
15813204;11000
15813204;22000
15814109;22000
16426145;27500
16672450;27500
17177364;49400
17656628;2000
18013443;33000
21605433;26600
21923540;17700
38124382;21300
58929514;24200
76021395;88000
76053166;150000
76422910;150000
77802450;24200
81735110;19100
81735110;19100
98493123;15700
98493123;16100
